class,description,numbers
API,заблокировать доступ апи саппорт ответ отправитель платформа браузер оценка,9
Личный Кабинет,сделать доступ лк рд компания косметология трихология сделать доступ личный кабинет маркетолог компания колесенин,14
CRM отдел,изменить дать лицо коллега добавить открытие профиль,7
IR,отображение выявить отображение открытие вкладка отображаться список возможность редактирование внесение данные закрытие карточка повторный открытие возможность редактирование появляться открывать закрывать неудобно,21
IR,доступ инфораша дубай коллега выдать право инфораша проект дубай здрк менеджер производство развитие проект,14
Личный Кабинет,личный кабинет добавить личный кабинет отображаться утверждать размер соответствовать требование,10
API,вопрос клиент апи помочь разобраться запрос запрос делать клиент этап тестирование апи ответ получать информация запрос важно жаловаться следующий написать запрос вернуться телефон номер тп ввиду контактный информация,28
CRM отдел,перевести служебный медицинский перевести служебный размещать акция,7
API,вопрос использование апи уточнение вопрос использование апи сюда апи посылать буква понять поэтому задача задача сформировать страничка использование карта любой нравиться стран должный ограничить доступ сотрудник предприятие пользование безопасность информация функционал сервис остаться карта необходимо разместить статический информация технологический объект определённый информация объект состав периодически информация дополняться изменяться карта необходимо размещать динамический информация состав создание событие комментарий подкраска объект карта определённый условие необходимый поиск цена использование карта апи описать выше функционал вариант использование данные продукт ьяновский электро начальник отдел автоматизация тело сотня тело,83
Fiji,дать адрес существующий список выпадать специалист,6
Группа Digital,бистро спецпроект ресторан необходимо крупный клиент осуществить расчёт индивидуально словосочетание доставка еда максимально уменьшить стоимость резьтат расчёт срс удовлетворять,19
Поддержка по отзывам,отзыв вопрос ранее отзыв отзыв удалённый признание содержаться оскорбление появиться клиент извиниться заведовать повторно удалить отзыв клиент оскорбительный признать,19
Группа корректуры РМ,фоновый изображение карточка брендирование моб версия загрузить фоновый изображение брендирование текущий рд самостоятельно возможность загрузить рд начать размещаться июль,19
Поддержка по отзывам,отзыв реакция модератор отправлять лк скрыть отзыв город фирма рекламный производственный комплекс автор,13
API,использование апи общаться коллега скайп вопрос интеграция предоставить тестовый браузер попытка встраивание приложение происходить карта грузиться яндекс карта технология работать проблема,21
Fiji,уд тся выбрать выбрать адрес создать присвоить название снт название адрес адрес необходимый создание карточка,15
Личный Кабинет,войти лк дд компания фотодело войти лк писать доступ лк предоставить,11
Export buildman,сборка зависать очередь течение последний час сборка собираться зависать статус поставить очередь,12
Телекомунникация и связь,подключение подключение стран ввод код открываться выдавать,7
Группа корректуры РМ,заявка модерация рм выверить рм компания сигнал антенна выверить клиент важно пн увидеть сайт рм,15
Fiji,удаляться объект удаляться объект квартал удаться сохранить объект,8
CRM отдел,поменять ставка поменять ставка акция,5
API,разблокировка апи партнёр разблокировать партнёр,5
Группа Digital,комплексстрой торговый производственный компания свежий цена яндекс стран учёт дигитал нету договор заключать потеряться,14
Fiji,сделать выгрузка пользователь пользователь запускать последний вопрос уточнить,8
IR,место руководитель выходить скрин блокировать планировать выверка карточка требовать объём руководитель центр клиентский сервис поддержка продукт место руководитель выходить скрин руководитель центр клиентский сервис,24
API,апи заблокировать превысить лимит метрика никакой прошлый пропработать час заблокировать разблокировать посмотреть происходить ссылка метрика пользователь написать доступ апи автоматически заблокировать причина превысить максимальный установленный значение фактический значение любой вопрос писать,31
Группа корректуры РМ,отображаться мкб рубрика автозапчасть иномарка отображаться мкб пакет мкб пп менеджер клиентский сервис,13
Поддержка товаров,витрина товар помочь экспорт данные витрина клиент предложить экспорт товар одинэса сделать клиент самостоятельно написать инструкция автоматически системно загружать товар одинэса формат,22
IR,запускаться инфораша запускаться инфораша появление окошко запуск приложение происходить менеджер производство развитие проект,13
Atlassian,подписывать джир пользователь указывать асайнер репортёр автоматически устанавливать вочёр присылать уведомление добавить коммент изменить статус автоматически устанавливать вочёр присылать уведомление,20
Поддержка по отзывам,отзыв помочь решить вопрос касаемо действовать рекламодатель вопрос рекламодатель выявить отзыв компания гласить следующий текст уровень заказывать комплект доставить установить качественно дело являться официальный дистрибьютер торговый марка рекламодатель официальный посменный подтверждение право реализовывать данный товар сторона удалить данный отзыв,39
IR,разъяснить выгружать проект указать город умолчание блокировать исключение звено направление исключение совпадать направление звено блокировать переслать знать делать хэлп тело тело,21
Fiji,проходить сборка адрес здание удалить здание адрес удаление здание геомастер прийти удаление адрес сискод адрес необходимо перевыгрузить удаление,18
CRM отдел,студия запрос пройти двое морсковатый ведущий менеджер группа продажа морсковатый поддержка студия передать кураторство студия компания планировать размещаться реквизит морсковатый ведущий менеджер группа продажа,24
CRM отдел,назначить назначить вилгуд умный автосервис город компания вилгуд централизовать добавление,10
Export buildman,пересборка пересборка исправить помочь заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка заказ отсутствовать рекламный материал позиция код неблокировать стать блокировать финальный сборка ауп говорить заказ корректный,239
Export buildman,импорт час закончить финальный сборка,5
IR,инфораша настроить инфораша сси телефония остальной настройка телефония удалить осуществлять инфораша гарнитур телефония тело,14
Группа Digital,комплект рассчитать текущий клиент внимание заявка изменение рекламный материал приниматься число шикуновый добровольческий бригада тк,15
Личный Кабинет,личный кабинет уточнить прописать требование фотография клиент размещать программа личный кабинет проходить фотография,13
Группа корректуры РМ,срочно отменяться ребята извинить лаг случиться скриншот прилагать вс порядок буквально минута,12
Export buildman,импорт экспорт пройти импорт упасть возобновление падать импорт запуск запуск появление проект платформа онлайн приоритет блокировать статус открыть апи удалённый возвратить конфликт,22
API,получать координата объект сайт,4
Группа корректуры РМ,заявка модерация графический реклама проверить рм идти сборка,8
IR,вариант название зацепка проект зацепка специалист специалист компьютер видеть принт скрин вложение здрк видеть скрин проблема хватать право обработать зацепка проблема портал зацепка вкладка региональный зацепка скрин вложение понятно город исполнитель ситуация проект вариант название некоторый карточка карточка смотреть история карточка версия вариант название внести версия последний изменение числиться изменить ба вновь поставить вариант название заместитель клиент,57
Группа корректуры РМ,заявка модерация графический реклама город назначение проверить рм собраться,9
Поддержка товаров,рубрика товар коллега писаться фирма рубрика товар лк дать вкладка добавить вкладка лк дать фирма подкорректировать вводить заблуждение менеджер звонить видеть клиент рубрика предлагать инфо,25
Личный Кабинет,ростелеком баннер лк статистика коллега рекламодатель запрашивать отчётность статистика размещение баннер лк декабрь выслать оперативный закрыть ашиток менеджер клиент,19
Fiji,некорректный предрасча выд блокировать объект последний корректно связать оперативно решить данный проблема мешать пересборка,14
Группа Digital,развивать ассоциация важно расчитать согласовать,5
Группа Digital,мастерская мес спец размещение рубрика изготовление заказ бюджет,8
Личный Кабинет,доступ лк компания бангкок ресторан помнить лк завести лк сбросить дать завести лк компания бояндин заместитель клиент моб,18
Export buildman,коллега удаваться прогнать статус собрать сборка скрин приложение,8
Поддержка товаров,кнопка действие позиция витрина букетный подарок добавить вчера ссылка сайт конкретный товар позиция букет кнопка оформить заказ моб версия появиться кнопка позвонить вместо сайт онлайн подгрузиться добавить кнопка сайт,29
CRM отдел,расторгнуть вывеска необходимо расторгнуть вывеска необходимо перевести,7
Группа Digital,лазерный косметология добавить слово лазерный косметология лазерный косметология лазерный косметология лазерный косметология отзыв лазерный косметология официальный сайт лазерный эпиляция косметология косметология лазерный омоложение лицо подтяжка лазерный шлифовка косметологический папиллома удаление лицо косметология удаление медицинский лицо чистка лицо пилинг лицо маска цена отзыв беременность сделать гребёнкин брюшной полость адрес малое таз сделать почка ребёнок адрес цена сосуд платно железа железа сустав запись гребёнкин запись конечность пройти район щитовидный железа сделать вено гребёнкин запись сайт коленный сустав сосуд цена медлайф гребёнкин запись сайт официальный почка цена брюшной мозг скрининг гребёнкин запись малое таз цена вено конечность гастроэнтеролог невролог анализ гинеколог кишечник щитовидка брюшной стоимость пластика лицо контурный пластика лицо пластика лицо цена пластический хирург коррекция коррекция отзыв целлюлита лечение аппарат похудение массаж похудение кавитация аппарат купить аппарат цена похудение комбидресс коррекция вес массаж кавитация аппарат эпиляция лазерный эпиляция эпиляция цена лазерный эпиляция цена подружка эпиляция подружка лазерный эпиляция эпиляция отзыв лазерный эпиляция отзыв лазерный эпиляция цена отзыв диодный эпиляция элосый эпиляция афт эпиляция эпиляция лазерный эпиляция лазерный эпиляция обучение лазерный депиляция удаление лазерный депиляция линлайна косметология элосый эпиляция,176
Личный Кабинет,удалить пользователь лк звать работать ммп обратиться клиент ящик удалить личный кабинет компания интернет окно расположить адрес,17
IR,открываться зацепка виснит пробовать перезагружать программа помочь,7
Atlassian,авторизация джир выслать руководитель ссылка джир пройти ссылка ввести выйти оповещение авторизация,12
Export buildman,клиент экспорт проблема выгружаться некоторый проект скан окно вложение лежать выгрузка посмотреть город ставить выгрузка,15
Поддержка товаров,товар оптовый розничный материал карточ компания оптовый розничный материал клиент загружать товар файл загрузиться позиция загрузка закончиться удалить товар карточка загрузить вручную,22
Atlassian,доступ вход получать сообщение разрешить стандарт пользователь соблюсти проверка выдавать следующий учётный запись отсутствовать необходимый группа город пользователь пользователь,19
Группа корректуры РМ,жилой комплекс видеобрендирование проверить данный видеоролик предмет размещение рамка видеобрендирование ссылка,11
IR,структура архивный карточка коллега архивный карточка структура видно связанный адрес бывать карточка дублироваться архивный посмотреть отношение необходимо карточка извлекать архив переходить режим редактирование видно структура карточка карточка необходимо возвращать архив дать проблема блокировать мешать решить данный проблема заранее щекуриный клиент пл бц,42
Телекомунникация и связь,возможно дозвониться пробовать дозвониться гудок пробовать сотовый проверить проблема,9
Atlassian,добавить статус доска джир коллега необходимо доска проект добавить пожелание привязать воркфлоу бизнес процесс добавить статус назначить тикета обсуждать вопрос,20
Atlassian,предоставить доступ конфлюенс необходимо предоставить доступ конфлюенс частность посмотреть ссылка конфлюенс конфлюенс конфлюенс конфлюенс согласовать дегтярёв специалист,17
Export buildman,сделать сборка проект кокшетау вопрос вчера запустить предварительный сборка прийти утром начать переводить статус локальный проверка перевод статус локальный проверка онлайн выйти якобы запуск проверка платформа проект запуск расширить период фильтр крайне удивиться сборка мобильный версия точно запускать предрасчёт уточнить запустить перевести сборка онлайн локальный проверка поскольку список видеть запуск,50
CRM отдел,сменить куратор сменить куратор клиент группа торговый компания продажа чёрный нержавеющий металлопрокат группа торговый компания продажа чёрный нержавеющий металлопрокат карточка создаваться сверка перевести,23
API,апи партнёр проверить сервис партнёр апи,6
IR,действие менеджер засчитываться статистика коллега менеджер заходить продукт офисный действие менеджер засчитываться статистика сделать действие менеджер засчитываться статистика,18
Export buildman,запускаться клиент экспорт клиент экспорт запуск выдавать закрываться билдман подключаться служба заранее,12
Группа Digital,коллега расчитать диджитал продажа игоревич поддержка коллега завести диджитал коллега завести диджитал компания сайт делать подарок объём готовый рубрика расчётчик письмо прилагать продажа,23
API,проблема апи карта сайт партнёр проверить заключаться проблема отображение карта сайт карточка компания загружаться карта карта отображаться спортивный объект проблема сторона партнёр реализация апи карта сторона ведущий менеджер развитие партнёрский отношение,31
Поддержка по отзывам,удаляться отзыв рд пожаловаться отзыв модерация признать некорректный сей отзыв карточка компания евродом компания реставрация,15
Fiji,добавление название трасса добавлять название трасса например федеральный страна выдаваться сообщение объект обработать понятно тестовый добавлять название,17
IR,проблема скачивание запись инфораша скачивание разговор карточка инфораша появляться окно браузер запись скачиваться дать проблема разный разный разговор карточка решить данный проблема близкий блокировать оценка качество телефонный контакт заранее ведущий,30
Телекомунникация и связь,ппр милек тт уведомлять проведение милек проведение возможный деградация услуга пиринг ппр мск окончание ппр мск планировать перерыв сервис приносить извинение доставить неудобство инженер центр мониторинг качество милек тело круглосуточный диспетчерская служба тело мониторинг,34
Fiji,повисать редактирование крутить загрузка регярно повисать редактирование крутить загрузка,9
Группа Digital,перемена рассчитать диджитал размещение компания перемена сем ситниковый,8
IR,массово тормозить инфораша вообще нереально дождаться открытие карточка обработка выборка,10
Группа Digital,бизнесстальтранс торговый производственный фирма создать бизнес консьтант,7
API,апи заблокировать заблокировать писать доступ апи автоматически заблокировать причина превысить максимальный установленный значение фактический значение любой вопрос писать,18
Fiji,запускаться запуск выпадать упс пойти закрывать окно область появляться грузиться карта карта загружаться атрибут объект грузиться,16
Группа Digital,сумка ноутбук дать сумка переносный ноутбук менеджер реализация проект,9
Группа Digital,металл торговый компания пуховый,4
CRM отдел,перевести заказ статус служебный коллега крупный клиент длинный предоплата оставить возможность текущий размещение реклама списание денежный средство лицевой сч клиент согласовать компания ссылка сделать перевести статус служебный денежный средство клиент списаться,31
Телекомунникация и связь,сменить номер компания тело вн,5
API,прогрузить объект поиск показывать объект писать показывать,7
Поддержка товаров,статистика отслеживать статистика товар насколько эффективно работать ветрищак менеджер клиент офис,11
CRM отдел,блокировать сборка исправить адрес принадлежать фирма рекламодатель заказ содержать пакет контекстный банер,12
Личный Кабинет,открыть доступ лк клиент проспект спб торговый производственный компания официальный представитель клиент проспект спб торговый производственный компания официальный представитель привязать лк привязать клиент внести офис,25
Группа Digital,лампа кейтеринговый компания рассчитать,4
Телекомунникация и связь,изменить номер очередь рекламный заменить номер номер очередь распределение рекламный нф заранее,12
Fiji,работать работать позволять сохранить объект писать получение геообъект вылетать программа,10
API,апи заблокировать разблокировать причина активность раздел активность посетитель делать возможно поисковик ходить ссылка онлайн доступ апи автоматически заблокировать причина превысить максимальный установленный значение фактический значение любой вопрос писать,28
Поддержка товаров,товар карточка компания удалить карточка компания спортивный товар загрузить товар негатив клиент данный клиент загружать товар лк,17
Поддержка по отзывам,отзыв компания дровосек новгород рекламодатель компания дровосек новгород пояиться негативный отзыв пжаловаться фамилия отзыв узнать бывший появляться нетрезвый неоднокрвтный опаздывать рассмотреть наслать рассмотреть вопрос отзыв ложный написать сомнительный репутация бывший по уволиться высылать скан документ приём уволнение принять,38
API,пропадать дать партнёр коллега апи партнёр сайт дать очевидный настройка апи проверить партнёр некорректно настроить починить сайт,17
Atlassian,возникать открытие различный джир возникать открытие различный джир джир джир джир джир джир джир джир джир джир джир,18
CRM отдел,комуса перевод фирма перевести фирма менеджер юриевич клиент комуса канцелярский товар комуса компания причина централизовать рекламный размещение комуса торговый компания комуса канцтовары комуса торговый компания,25
Atlassian,дать доступ конфлюенс настройкаконфигурация,4
Fiji,доступ запретить сотрудник проблема запускать писать доступ запретить работать нормально право пользователь пробовать переустановить устройство перезапускать пользователь,17
Atlassian,слэк джир переехать слэк смениться адрес джир слэк поменять,9
Export buildman,повторный возникновение тикета коллега попытка финальный сборка возникнуть вышепривед нном тикета блокировать дальнейший сборка скриншот прилагать,16
Atlassian,доступ коллега сделать доступный внешний запрос учётки например,8
API,заявка партнёр компания арматико страна город ресурс использоваться карта проезд офис количество уникальный пользователь представитель каргопол должность программист телефон обработать заявка перейти ссылка апи,25
Atlassian,интеграция джир дозволить интеграционный пользователь творить интеграционный дело проект джир ещ дозволить,12
Поддержка по отзывам,удалить отзыв компания автомастер автокомплекс ст керхер место прийтись ждать помыть автобусмашин протирать мыть,14
IR,запускаться стартовать инфораша процесс появляться падать перезагрузка переустановка клиент гп помогать,11
IR,отображаться сработать гк отчёт коллега отчёт отображаться сработать клиент карточка сотрудник создать карточка отправить зацепка гк реклама продать февраль отчёт вознаграждение сработать гк клиент помочь разобраться руководитель направление сити,29
Поддержка товаров,витрина коллега компания автозапчасть витрина загружать фотография,7
Поддержка по отзывам,возможно удаление отзыв обратиться клиент слово являться владелец медицинский центр сонэра адрес появиться отзыв дело просмотреть анализ пациентка центр,19
Телекомунникация и связь,номер приветствовать связь реорганизация сотрудник мпп группа продажа сменить номер ариненко акц сити,13
Телекомунникация и связь,тлф группа обновить состав группа дозвон номер матизный,8
Поддержка по отзывам,удалить отзыв компания ответить отзыв выйти связь никак данный клиент никакой действие компания являться рекламодатель сделать вс регламент данный случай никакой продвижение негатив вызвать вс,25
Поддержка по отзывам,удаление отзыв компания удалить отметить отзыв компания клиент запрос контактный дать автор пожаловаться отзыв лк отзыв сей удалённый,18
Поддержка товаров,товар коллега консьтация уточнить подгрузить товар некоторый добавить данный функционал дело столкнуться проблема рубрика услуга косметолог некоторый небольшой приоритет подгрузить товар компания приоритет лк вовсе отображаться данный подраздел клиент недоумевать мпп растерять обещать дать вразумительный ответ срок помочь разрешить данный вопрос возможность открыть доступ данные подгрузка товар,47
Телекомунникация и связь,маршрутизация необходимо настроить маршрутизация входящий номер город номер ес звонить рекламный размещение должный уходить порядок очерёдность номер цифра интервал остальной номер уходить аналогия вопрос обязательно ответить заранее клиент,28
API,возникнуть позиция заказ помочь исправить войти топ интернет компания версия признать мобильный приложение топ работодатель версия забыть номер установить интересный статистика город знать клиент посмотреть личный кабинет рекламодатель,28
Личный Кабинет,хитэк профессиональный косметика парикмахерский инструмент оборудование клиент добавить лк проблема лпр,11
API,поиск геообъект ответ запрос поиск геообъект апи описывать назначение объект получить список возможный значение,14
Личный Кабинет,необходимо срочно предоставить доступ лк компания город франчайзи,8
IR,поправить список пользователь инфораша ранее фамилия сотрудник получиться пользователь инфораша шишмановый создать переименовать девичий фамилия убрать список скрин выделить назначить сверка,21
Телекомунникация и связь,изменение настройка номер изменить описание следующий номер борщун холметов включить запись номер назначить номер пользователь номер включить запись,18
API,виджет контакт сайт ограничение количество отметить бесплатный виджет контакт апи заранее благодарить региональный менеджер производство франчайзи проспект оф,18
Поддержка по отзывам,клиент удалить отзыв клиент пожаловаться отзыв личный кабинет отзыв являться информативный нести сущность проблема,14
Группа Digital,ритуальный агентство подписать оплатить заполнить создавать рекламный кампания желательно тормозить запуск,11
Atlassian,войти поддержка вход выдавать следующий сообщение сбросить менеджер телемаркетинг,9
Поддержка по отзывам,отзыв ответ скрытый автоматически стайла торговый монтажный компания клиент за контакт получить отзыв должный скрытый скрыть ответ отзыв ответ негативный отзыв флампа датироваться ответ предоставление контактный данные получить удалить отзыв,30
